year,county,party,is_small,is_focus,candidates,votes,seats_won
2014,南投縣,中國國民黨,0,0,21,116271,16
2014,南投縣,台灣團結聯盟,0,0,1,1888,0
2014,南投縣,大道人民黨,0,0,1,167,0
2014,南投縣,民主進步黨,0,0,8,56806,8
2014,南投縣,無黨籍,0,0,28,105510,9
2014,嘉義市,中國國民黨,0,0,10,38651,6
2014,嘉義市,台灣團結聯盟,0,0,2,6727,1
2014,嘉義市,樹黨,1,0,1,1216,0
2014,嘉義市,民主進步黨,0,0,7,34777,5
2014,嘉義市,無黨籍,0,0,14,63197,12
2014,嘉義縣,中國國民黨,0,0,10,68574,9
2014,嘉義縣,台灣團結聯盟,0,0,1,1053,0
2014,嘉義縣,民主進步黨,0,0,21,163524,18
2014,嘉義縣,無黨籍,0,0,13,64704,9
2014,嘉義縣,親民黨,0,0,1,3076,0
2014,基隆市,中國國民黨,0,0,22,83633,13
2014,基隆市,人民民主陣線,1,0,6,3014,0
2014,基隆市,台灣團結聯盟,0,0,1,2343,0
2014,基隆市,民主進步黨,0,0,12,47931,10
2014,基隆市,無黨籍,0,0,16,37206,3
2014,基隆市,綠黨,1,1,1,1048,0
2014,基隆市,親民黨,0,0,4,10808,2
2014,宜蘭縣,中國國民黨,0,0,17,86811,10
2014,宜蘭縣,台灣團結聯盟,0,0,1,501,0
2014,宜蘭縣,樹黨,1,0,1,3594,1
2014,宜蘭縣,民主進步黨,0,0,19,94092,12
2014,宜蘭縣,無黨籍,0,0,16,56726,8
2014,屏東縣,中國國民黨,0,0,19,128141,12
2014,屏東縣,台灣團結聯盟,0,0,1,6487,1
2014,屏東縣,民主進步黨,0,0,27,179012,18
2014,屏東縣,無黨籍,0,0,24,126313,14
2014,屏東縣,親民黨,0,0,1,1117,0
2014,彰化縣,中國國民黨,0,0,32,280572,23
2014,彰化縣,台灣團結聯盟,0,0,1,865,0
2014,彰化縣,台灣民族黨,0,0,1,741,0
2014,彰化縣,民主進步黨,0,0,23,242211,17
2014,彰化縣,無黨籍,0,0,28,187889,12
2014,新北市,中國國民黨,0,0,36,729594,23
2014,新北市,中華民主向日葵憲政改革聯盟,0,0,1,389,0
2014,新北市,人民最大黨,0,0,1,614,0
2014,新北市,人民民主陣線,1,0,2,5791,0
2014,新北市,台灣團結聯盟,0,0,4,41088,1
2014,新北市,新黨,0,0,6,33398,0
2014,新北市,民主進步黨,0,0,34,820707,31
2014,新北市,無黨籍,0,0,21,217835,7
2014,新北市,綠黨,1,1,2,14125,0
2014,新北市,親民黨,0,0,4,22024,0
2014,新竹市,中國國民黨,0,0,18,70622,13
2014,新竹市,台灣團結聯盟,0,0,2,5127,1
2014,新竹市,新黨,0,0,1,407,0
2014,新竹市,民主進步黨,0,0,7,33124,7
2014,新竹市,無黨籍,0,0,29,78697,10
2014,新竹市,綠黨,1,1,1,3279,0
2014,新竹市,親民黨,0,0,2,5688,0
2014,新竹縣,中國國民黨,0,0,27,146936,20
2014,新竹縣,勞動黨,0,0,1,5827,1
2014,新竹縣,民主進步黨,0,0,5,21016,2
2014,新竹縣,無黨籍,0,0,21,79056,8
2014,新竹縣,綠黨,1,1,1,4402,1
2014,桃園市,中國國民黨,0,0,34,349075,26
2014,桃園市,人民民主陣線,1,0,1,290,0
2014,桃園市,台灣主義黨,0,0,1,597,0
2014,桃園市,台灣團結聯盟,0,0,2,11340,1
2014,桃園市,台灣建國黨,0,0,1,81,0
2014,桃園市,新黨,0,0,4,7207,0
2014,桃園市,民主進步黨,0,0,29,302881,20
2014,桃園市,無黨團結聯盟,0,0,2,12454,0
2014,桃園市,無黨籍,0,0,51,215404,7
2014,桃園市,綠黨,1,1,3,25913,1
2014,桃園市,親民黨,0,0,3,14920,0
2014,澎湖縣,中國國民黨,0,0,9,19434,8
2014,澎湖縣,民主進步黨,0,0,2,3821,2
2014,澎湖縣,無黨團結聯盟,0,0,1,579,0
2014,澎湖縣,無黨籍,0,0,20,26891,9
2014,澎湖縣,綠黨,1,1,1,773,0
2014,臺中市,中國國民黨,0,0,34,553030,27
2014,臺中市,台灣團結聯盟,0,0,5,18893,0
2014,臺中市,樹黨,1,0,1,6784,0
2014,臺中市,民主進步黨,0,0,33,582590,27
2014,臺中市,無黨籍,0,0,25,251592,6
2014,臺中市,聯合黨,0,0,1,477,0
2014,臺中市,親民黨,0,0,6,36435,1
2014,臺北市,中國國民黨,0,0,32,562698,26
2014,臺北市,人民民主陣線,1,0,2,3642,0
2014,臺北市,台灣團結聯盟,0,0,6,43291,1
2014,臺北市,新黨,0,0,7,86129,2
2014,臺北市,樹黨,1,0,5,30903,0
2014,臺北市,民主進步黨,0,0,27,577039,27
2014,臺北市,無黨籍,0,0,17,96238,3
2014,臺北市,華聲黨,0,0,1,207,0
2014,臺北市,親民黨,0,0,6,65589,2
2014,臺南市,中國國民黨,0,0,24,237255,15
2014,臺南市,台灣團結聯盟,0,0,3,22990,1
2014,臺南市,樹黨,1,0,1,2172,0
2014,臺南市,民主進步黨,0,0,33,387379,28
2014,臺南市,無黨籍,0,0,21,203196,11
2014,臺東縣,中國國民黨,0,0,13,42686,12
2014,臺東縣,民主進步黨,0,0,2,7057,1
2014,臺東縣,無黨籍,0,0,12,22713,4
2014,花蓮縣,中國國民黨,0,0,18,70085,14
2014,花蓮縣,民主進步黨,0,0,7,26420,6
2014,花蓮縣,無黨籍,0,0,9,18735,3
2014,花蓮縣,親民黨,0,0,1,958,0
2014,苗栗縣,中國國民黨,0,0,20,125586,17
2014,苗栗縣,樹黨,1,0,1,3819,0
2014,苗栗縣,民主進步黨,0,0,8,43641,4
2014,苗栗縣,無黨籍,0,0,30,135017,15
2014,雲林縣,中國國民黨,0,0,10,63354,7
2014,雲林縣,台灣團結聯盟,0,0,3,9842,1
2014,雲林縣,民主進步黨,0,0,20,126952,13
2014,雲林縣,無黨籍,0,0,38,207307,22
2014,高雄市,中國國民黨,0,0,31,494551,23
2014,高雄市,人民民主陣線,1,0,2,2243,0
2014,高雄市,台灣團結聯盟,0,0,7,51616,1
2014,高雄市,新黨,0,0,1,2493,0
2014,高雄市,民主進步黨,0,0,38,684150,31
2014,高雄市,無黨團結聯盟,0,0,3,42649,2
2014,高雄市,無黨籍,0,0,22,127827,3
2014,高雄市,綠黨,1,1,1,7798,0
2014,高雄市,親民黨,0,0,3,23308,1
2018,南投縣,中國國民黨,0,0,17,106815,15
2018,南投縣,民主進步黨,0,0,13,68199,8
2018,南投縣,無黨籍,0,0,23,101864,11
2018,嘉義市,中國國民黨,0,0,8,33272,5
2018,嘉義市,台灣團結聯盟,0,0,2,4578,1
2018,嘉義市,時代力量,1,1,1,1865,0
2018,嘉義市,民主進步黨,0,0,8,31903,4
2018,嘉義市,無黨籍,0,0,24,68714,13
